GEOID;COUNTRY;STATE;IECC15;IECC21;BA15;BA21;MOISTURE15;MOISTURE21;CPU
G22031;De Soto;Louisiana;3;3;Hot-Humid;Hot-Humid;A;A
G24015;Cecil;Maryland;4;4;Mixed-Humid;Mixed-Humid;A;A
G55078;Menominee;Wisconsin;6;6;Cold;Cold;A;A
G19179;Wapello;Iowa;5;5;Cold;Cold;A;A
G16055;Kootenai;Idaho;5;5;Cold;Cold;B;B
G47075;Haywood;Tennessee;3;3;Mixed-Humid;Mixed-Humid;A;A
G19003;Adams;Iowa;5;5;Cold;Cold;A;A
G17155;Putnam;Illinois;5;5;Cold;Cold;A;A
G17169;Schuyler;Illinois;5;5;Cold;Cold;A;A
G47111;Macon;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G19033;Cerro Gordo;Iowa;6;6;Cold;Cold;A;A
G26023;Branch;Michigan;5;5;Cold;Cold;A;A
G19041;Clay;Iowa;6;6;Cold;Cold;A;A
G37159;Rowan;North Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G56001;Albany;Wyoming;6;6;Cold;Cold;B;B
G02016;Aleutians West;Alaska;8;7;Very Cold;Very Cold;;
G08013;Boulder;Colorado;5;5;Cold;Cold;B;B
G13303;Washington;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G18055;Greene;Indiana;4;4;Mixed-Humid;Mixed-Humid;A;A
G20109;Logan;Kansas;5;5;Cold;Cold;A;A
G21033;Caldwell;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G26137;Otsego;Michigan;6;6;Cold;Cold;A;A
G26143;Roscommon;Michigan;6;6;Cold;Cold;A;A
G35043;Sandoval;New Mexico;5;5;Cold;Cold;B;B
G39011;Auglaize;Ohio;5;5;Cold;Cold;A;A
G46015;Brule;South Dakota;6;5;Cold;Cold;A;A
G46005;Beadle;South Dakota;6;6;Cold;Cold;A;A
G48091;Comal;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G48393;Roberts;Texas;4;4;Mixed-Dry;Mixed-Dry;B;B
G54005;Boone;West Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G72075;Juana Díaz;;;;;;;
G72087;Loíza;;;;;;;
G21223;Trimble;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G27051;Grant;Minnesota;7;6;Very Cold;Cold;;A
G28037;Franklin;Mississippi;3;3;Hot-Humid;Hot-Humid;A;A
G29215;Texas;Missouri;4;4;Mixed-Humid;Mixed-Humid;A;A
G21237;Wolfe;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G48023;Baylor;Texas;3;3;Hot-Dry;Hot-Dry;B;B
G47067;Hancock;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G46081;Lawrence;South Dakota;6;6;Cold;Cold;A;A
G46087;McCook;South Dakota;6;6;Cold;Cold;A;A
G46073;Jerauld;South Dakota;6;6;Cold;Cold;A;A
G42035;Clinton;Pennsylvania;5;5;Cold;Cold;A;A
G51075;Goochland;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G47101;Lewis;Tennessee;4;3;Mixed-Humid;Mixed-Humid;A;A
G47113;Madison;Tennessee;3;3;Mixed-Humid;Mixed-Humid;A;A
G48255;Karnes;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G27083;Lyon;Minnesota;6;6;Cold;Cold;A;A
G47135;Perry;Tennessee;4;3;Mixed-Humid;Mixed-Humid;A;A
G47147;Robertson;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G47155;Sevier;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G55097;Portage;Wisconsin;6;6;Cold;Cold;A;A
G55099;Price;Wisconsin;7;6;Very Cold;Cold;;A
G51037;Charlotte;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G48047;Brooks;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G55033;Dunn;Wisconsin;6;6;Cold;Cold;A;A
G17075;Iroquois;Illinois;5;5;Cold;Cold;A;A
G13181;Lincoln;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G24025;Harford;Maryland;4;4;Mixed-Humid;Mixed-Humid;A;A
G31095;Jefferson;Nebraska;5;5;Cold;Cold;A;A
G31145;Red Willow;Nebraska;5;5;Cold;Cold;A;A
G31181;Webster;Nebraska;5;5;Cold;Cold;A;A
G39017;Butler;Ohio;5;4;Cold;Mixed-Humid;A;A
G17191;Wayne;Illinois;4;4;Mixed-Humid;Mixed-Humid;A;A
G19107;Keokuk;Iowa;5;5;Cold;Cold;A;A
G17199;Williamson;Illinois;4;4;Mixed-Humid;Mixed-Humid;A;A
G12049;Hardee;Florida;2;2;Hot-Humid;Hot-Humid;A;A
G13187;Lumpkin;Georgia;4;3;Mixed-Humid;Mixed-Humid;A;A
G12043;Glades;Florida;2;2;Hot-Humid;Hot-Humid;A;A
G13183;Long;Georgia;2;2;Hot-Humid;Hot-Humid;A;A
G13195;Madison;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G48481;Wharton;Texas;2;2;Hot-Humid;Hot-Humid;A;A
G13219;Oconee;Georgia;3;3;Mixed-Humid;Mixed-Humid;A;A
G13225;Peach;Georgia;3;3;Hot-Humid;Hot-Humid;A;A
G48503;Young;Texas;3;3;Mixed-Humid;Mixed-Humid;A;A
G51013;Arlington;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G56025;Natrona;Wyoming;6;6;Cold;Cold;B;B
G45083;Spartanburg;South Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G45081;Saluda;South Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G55131;Washington;Wisconsin;6;5;Cold;Cold;A;A
G53023;Garfield;Washington;5;5;Cold;Cold;B;B
G27117;Pipestone;Minnesota;6;6;Cold;Cold;A;A
G27133;Rock;Minnesota;6;6;Cold;Cold;A;A
G41031;Jefferson;Oregon;5;5;Cold;Cold;B;B
G30107;Wheatland;Montana;6;6;Cold;Cold;B;B
G51109;Louisa;Virginia;4;4;Mixed-Humid;Mixed-Humid;A;A
G27147;Steele;Minnesota;6;6;Cold;Cold;A;A
G29131;Miller;Missouri;4;4;Mixed-Humid;Mixed-Humid;A;A
G27153;Todd;Minnesota;6;6;Cold;Cold;A;A
G01057;Fayette;Alabama;3;3;Mixed-Humid;Mixed-Humid;A;A
G19071;Fremont;Iowa;5;5;Cold;Cold;A;A
G18021;Clay;Indiana;5;4;Cold;Mixed-Humid;A;A
G31013;Box Butte;Nebraska;5;5;Cold;Cold;A;A
G28049;Hinds;Mississippi;3;3;Hot-Humid;Hot-Humid;A;A
G18063;Hendricks;Indiana;5;4;Cold;Mixed-Humid;A;A
G17145;Perry;Illinois;4;4;Mixed-Humid;Mixed-Humid;A;A
G37181;Vance;North Carolina;4;3;Mixed-Humid;Mixed-Humid;A;A
G20001;Allen;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G48093;Comanche;Texas;3;3;Hot-Humid;Hot-Humid;A;A
G20079;Harvey;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G26057;Gratiot;Michigan;5;5;Cold;Cold;A;A
G20111;Lyon;Kansas;4;4;Mixed-Humid;Mixed-Humid;A;A
G47159;Smith;Tennessee;4;4;Mixed-Humid;Mixed-Humid;A;A
G26065;Ingham;Michigan;5;5;Cold;Cold;A;A
G26067;Ionia;Michigan;5;5;Cold;Cold;A;A
G21141;Logan;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G48127;Dimmit;Texas;2;2;Hot-Humid;Hot-Humid;B;B
G48325;Medina;Texas;2;2;Hot-Humid;Hot-Humid;B;B
G21161;Mason;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G26085;Lake;Michigan;6;6;Cold;Cold;A;A
G27067;Kandiyohi;Minnesota;6;6;Cold;Cold;A;A
G26107;Mecosta;Michigan;6;6;Cold;Cold;A;A
G37123;Montgomery;North Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G46037;Day;South Dakota;6;6;Cold;Cold;A;A
G37093;Hoke;North Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G37125;Moore;North Carolina;3;3;Mixed-Humid;Mixed-Humid;A;A
G21219;Todd;Kentucky;4;4;Mixed-Humid;Mixed-Humid;A;A
G27065;Kanabec;Minnesota;7;6;Very Cold;Cold;;A
